Código Departamento;Código Municipio;Departamento;Municipio / Distrito;Grado de importancia económica;"Valor agregado
(Miles de millones de pesos)";Peso relativo municipal en el valor agregado departamental %
5;5001;Antioquia;Medellín;1;54530.70;45.5
8;8001;Atlántico;Barranquilla. Distrito especial. industrial y portuario;1;24184.30;68.5
11;11001;Bogotá Distrito Capital;Bogotá Distrito Capital;1;205023.70;100
13;13001;Bolívar;Cartagena de Indias. Distrito turístico. histórico y cultural;1;18885.80;70.3
68;68001;Santander;Bucaramanga;1;12049.20;30.4
68;68081;Santander;Barrancabermeja;1;9426.20;23.8
76;76001;Valle Del Cauca;Cali;1;32558.60;46.2
5;5045;Antioquia;Apartadó;2;2132.00;1.8
5;5088;Antioquia;Bello;2;4450.20;3.7
5;5266;Antioquia;Envigado;2;7245.50;6
5;5308;Antioquia;Girardota;2;1683.40;1.4
5;5360;Antioquia;Itagüi;2;6353.90;5.3
5;5380;Antioquia;La Estrella;2;1265.90;1.1
5;5615;Antioquia;Rionegro;2;3081.90;2.6
5;5631;Antioquia;Sabaneta;2;2469.30;2.1
5;5837;Antioquia;Turbo;2;2665.00;2.2
8;8433;Atlántico;Malambo;2;1694.10;4.8
8;8758;Atlántico;Soledad;2;5209.30;14.7
15;15001;Boyacá;Tunja;2;3099.80;15.6
15;15238;Boyacá;Duitama;2;1654.30;8.4
15;15572;Boyacá;Puerto Boyacá;2;1520.80;7.7
15;15759;Boyacá;Sogamoso;2;1939.80;9.8
17;17001;Caldas;Manizales;2;6302.10;49.3
18;18001;Caquetá;Florencia;2;1597.80;43.2
19;19001;Cauca;Popayán;2;3480.40;25.7
19;19142;Cauca;Caloto;2;1548.40;11.4
20;20001;Cesar;Valledupar;2;4718.30;28.7
20;20013;Cesar;Agustín Codazzi;2;1515.40;9.2
20;20045;Cesar;Becerril;2;1571.80;9.5
20;20400;Cesar;La Jagua de Ibirico;2;3347.80;20.3
23;23001;Córdoba;Montería;2;4026.30;34.4
25;25126;Cundinamarca;Cajicá;2;1577.70;3.2
25;25175;Cundinamarca;Chía;2;2368.00;4.8
25;25214;Cundinamarca;Cota;2;4246.30;8.6
25;25269;Cundinamarca;Facatativá;2;3483.50;7.1
25;25286;Cundinamarca;Funza;2;2771.40;5.6
25;25290;Cundinamarca;Fusagasugá;2;1560.50;3.2
25;25307;Cundinamarca;Girardot;2;1279.40;2.6
25;25430;Cundinamarca;Madrid;2;1334.60;2.7
25;25473;Cundinamarca;Mosquera;2;2121.10;4.3
25;25754;Cundinamarca;Soacha;2;4760.90;9.7
25;25799;Cundinamarca;Tenjo;2;1387.70;2.8
25;25817;Cundinamarca;Tocancipá;2;3389.50;6.9
25;25899;Cundinamarca;Zipaquirá;2;1613.10;3.3
27;27001;Choco;Quibdó;2;1400.00;31
41;41001;Huila;Neiva;2;5221.70;37.8
41;41551;Huila;Pitalito;2;1392.80;10.1
44;44001;La Guajira;Riohacha. Distrito especial. turístico y cultural;2;2116.20;21.9
44;44035;La Guajira;Albania;2;3093.40;32
47;47001;Magdalena;Santa Marta. Distrito turístico. cultural e histórico;2;5366.90;43.3
50;50001;Meta;Villavicencio;2;8022.80;29.5
50;50006;Meta;Acacías;2;3411.90;12.5
50;50150;Meta;Castilla la Nueva;2;1921.80;7.1
50;50568;Meta;Puerto Gaitán;2;6520.90;24
52;52001;Nariño;Pasto;2;4243.20;32.9
52;52835;Nariño;San Andres de Tumaco;2;1450.60;11.3
54;54001;Norte De Santander;Cúcuta;2;7590.00;55.3
63;63001;Quindío;Armenia;2;4089.10;55.5
66;66001;Risaralda;Pereira;2;7684.60;60.6
